file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
1100823,10.0582,0.0005,10.9779,0.0006,28.1698,0.0015,90,,90,,90,,3110.5,0.3,163,2,163,2,4,P 21 21 21,P 2ac 2ab,19,,,,- C31 H51 Si2 Y -,- C31 H51 Si2 Y -,- C124 H204 Si8 Y4 -,4,1
1100824,11.0875,0.001,19.7843,0.0018,15.6311,0.0014,90,,93.695,0.002,90,,3421.7,0.5,171,2,171,2,5,P 1 21/n 1,-P 2yn,14,,,,- C64 H116 Al2 Si4 Y2 -,- C64 H116 Al2 Si4 Y2 -,- C128 H232 Al4 Si8 Y4 -,2,0.5
1100825,29.2318,0.0015,29.2318,0.0015,10.1105,0.0007,90,,90,,90,,8639.4,0.9,163,2,163,2,4,I 41 c d,I 4bw -2c,110,,,,- C23 H35 Si Y -,- C23 H30 Si Y -,- C368 H480 Si16 Y16 -,16,1
1100826,22.5779,0.0005,22.5779,0.0005,8.4111,0.0003,90,,90,,90,,4287.7,0.2,163,2,163,2,3,I -4,I -4,82,,,,- C23 H35 Lu -,- C23 H35 Lu -,- C184 H280 Lu8 -,8,1
1100827,8.9218,0.0011,17.632,0.002,13.6181,0.0017,90,,90.066,0.002,90,,2142.3,0.5,163,2,163,2,3,P 1 21/n 1,-P 2yn,14,,,,- C23 H35 Y -,- C23 H35 Y -,- C92 H140 Y4 -,4,1
1515694,22.508,0.003,5.9232,0.0007,22.328,0.003,90,,101.252,0.005,90,,2919.5,0.7,120,2,120,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C19 H15 N O Ru -,- C19 H15 N O Ru -,- C152 H120 N8 O8 Ru8 -,8,2
1515695,17.4825,0.0005,7.342,0.0002,23.1152,0.0007,90,,90,,90,,2966.99,0.15,120,2,120,2,5,P b c a,-P 2ac 2ab,61,,,,- C20 H17 Fe N O -,- C20 H17 Fe N O -,- C160 H136 Fe8 N8 O8 -,8,1
1515696,30.9574,0.0011,16.257,0.0004,7.4078,0.0003,90,,101.757,0.002,90,,3649.9,0.2,120,2,120,2,6,C 1 2/c 1,-C 2yc,15,,,,- C19 H14 Br Fe N O -,- C19 H14 Br Fe N O -,- C152 H112 Br8 Fe8 N8 O8 -,8,1
1515697,6.0028,0.0002,21.513,0.0012,11.3488,0.0005,90,,93.01,0.003,90,,1463.54,0.11,120,2,120,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C19 H17 Fe N O -,- C19 H17 Fe N O -,- C76 H68 Fe4 N4 O4 -,4,1
1516111,11.0188,0.0004,13.6909,0.0005,15.087,0.0006,64.169,0.002,68.942,0.002,75.522,0.002,1899.9,0.13,100,,100,,5,P -1,-P 1,2,,,,- C46 H48 N2 O Zr -,- C46 H48 N2 O Zr -,- C92 H96 N4 O2 Zr2 -,2,1
1516112,10.387,0.002,15.918,0.004,21.74,0.005,76.406,0.005,79.036,0.005,87.948,0.005,3429.9,1.3,100,2,100,2,6,P -1,-P 1,2,,,,- C36.83 H46.32 Cl2.34 N2 O Ti -,- C36.828 H46.32 Cl2.336 N2 O Ti -,- C147.312 H185.28 Cl9.344 N8 O4 Ti4 -,4,2
1518944,25.577,0.005,6.6615,0.0013,14.001,0.003,90,,94.62,0.004,90,,2377.8,0.8,100,2,100,2,5,C 1 2/c 1,-C 2yc,15,,,,- C22 H34 Cl2 O4 Zr -,- C22 H34 Cl2 O4 Zr -,- C88 H136 Cl8 O16 Zr4 -,4,0.5
1518945,6.5,0.0002,14.86,0.0005,13.979,0.0005,90,,101.328,0.004,90,,1323.93,0.08,293,2,293,2,5,P 1 21/n 1,-P 2yn,14,,,,- C14 H15 Cl O2 Ti -,- C14 H15 Cl O2 Ti -,- C56 H60 Cl4 O8 Ti4 -,4,1
1542398,16.436,0.004,18.645,0.005,19.723,0.005,90,,90,,90,,6044,3,140,1,140,1,5,P 21 21 21,P 2ac 2ab,19,,,,- C32 H47 Br O U -,- C32 H47 Br O U -,- C256 H376 Br8 O8 U8 -,8,2
1542399,14.9546,0.0012,17.323,0.002,8.194,0.0007,90,,90,,90,,2122.7,0.3,100,1,100,1,4,F m m 2,F 2 -2,42,,,,- C20 H30 Br2 U -,- C20 H30 Br2 U -,- C80 H120 Br8 U4 -,4,0.25
1542400,11.0688,0.0009,29.295,0.003,8.7573,0.0007,90,,102.609,0.001,90,,2771.2,0.4,100,1,100,1,6,C 1 c 1,C -2yc,9,,,,- C24 H38 Br2 K O U -,- C24 H38 Br2 K O U -,- C96 H152 Br8 K4 O4 U4 -,4,1
1542401,8.2013,0.0007,18.6785,0.0017,8.4618,0.0008,90,,118.833,0.001,90,,1135.55,0.18,100,1,100,1,4,P 1 21/m 1,-P 2yb,11,,,,- C22 H34 Br2 U -,- C22 H34 Br2 U -,- C44 H68 Br4 U2 -,2,0.5
1565073,9.27977,0.00015,15.8832,0.0002,17.3902,0.0003,88.345,0.0012,82.9269,0.0013,86.1875,0.0012,2537.49,0.07,100.01,0.1,100.01,0.1,4,P -1,-P 1,2,,,,- C28 H34 N4 Y -,- C28 H34 N4 Y -,- C112 H136 N16 Y4 -,4,2
1568507,10.7675,0.0003,17.3155,0.0004,17.5438,0.0005,90,,90,,90,,3270.95,0.15,150,,150,,4,P 21 21 21,P 2ac 2ab,19,,,,- C36 H53 O2 U -,- C36 H53 O2 U -,- C144 H212 O8 U4 -,4,1
