file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
1000108,7.8974,0.0003,7.9076,0.0003,14.7227,0.0004,90,,90,,90,,919.4,5,P n a m,-P 2c 2n,62,,Barium fluorodizirconate dihydrate,,- Ba F10 H4 O2 Zr2 -,- Ba F10 H4 O2 Zr2 -,- Ba4 F40 H16 O8 Zr8 -,4,0.5
1000132,13.193,0.002,7.499,0.001,19.83899,0.003,90,,91.69,0.01,90,,1961.9,5,C 1 2/c 1,-C 2yc,15,,Barium hexafluorozirconate hydrate (1/1/0.04) - γ,,- Ba F6 H0.075 O0.0375 Zr -,- Ba F6 H0.075 O0.0375 Zr -,- Ba16 F96 H1.2 O0.6 Zr16 -,16,2
1000135,7.655,0.001,10.313,0.001,10.255,0.001,90,,90,,90,,809.6,3,P 21 21 2,P 2 2ab,18,,Pentastrontium trizirconium fluoride,,- F22 Sr5 Zr3 -,- F22 Sr5 Zr3 -,- F44 Sr10 Zr6 -,2,0.5
1000150,9.7401,0.0001,5.6147,0.0001,11.8871,0.0001,90,,90,,90,,650.1,3,P n m a,-P 2ac 2n,62,,Dibarium zirconium fluoride - α,,- Ba2 F8 Zr -,- Ba2 F8 Zr -,- Ba8 F32 Zr4 -,4,0.5
1000151,9.7426,0.0003,5.6157,0.0002,11.8877,0.0003,90,,90,,90,,650.4,3,P n m a,-P 2ac 2n,62,,Dibarium zirconium fluoride - α,,- Ba2 F8 Zr -,- Ba2 F8 Zr -,- Ba8 F32 Zr4 -,4,0.5
1000152,9.7401,0.0002,5.6167,0.0001,11.8839,0.0003,90,,90,,90,,650.1,3,P n m a,-P 2ac 2n,62,,Dibarium zirconium fluoride - α,,- Ba2 F8 Zr -,- Ba2 F8 Zr -,- Ba8 F32 Zr4 -,4,0.5
1000153,9.7472,0.0002,5.6173,0.0001,11.8995,0.0003,90,,90,,90,,651.5,3,P n m a,-P 2ac 2n,62,,Dibarium zirconium fluoride - α,,- Ba2 F8 Zr -,- Ba2 F8 Zr -,- Ba8 F32 Zr4 -,4,0.5
1000154,10.08,0.0003,5.3262,0.0001,11.6637,0.0003,90,,90,,90,,626.2,3,P n m a,-P 2ac 2n,62,,Dilead zirconium fluoride,,- F8 Pb2 Zr -,- F8 Pb2 Zr -,- F32 Pb8 Zr4 -,4,0.5
1000396,9.1546,0.0002,9.1546,0.0002,9.1546,0.0002,90,,90,,90,,767.2,3,P 21 3,P 2ac 2ab 3,198,,Zirconium tungstate,,- O8 W2 Zr -,- O8 W2 Zr -,- O32 W8 Zr4 -,4,0.333333
1000423,26.60999,0.01,7.506,0.002,11.602,0.004,90,,107.43,0.02,90,,2210.9,4,C 1 2/m 1,-C 2y,12,,Dicaesium zirconium hexasilicate,,- Cs2 O15 Si6 Zr -,- Cs2 O15 Si6 Zr -,- Cs12 O90 Si36 Zr6 -,6,0.75
1001196,5.005,0.001,5.005,0.001,10.452,0.002,90,,90,,90,,261.8,3,I -4 2 m,I -4 2,121,,Trizirconium germanium oxide,,- Ge O8 Zr3 -,- Ge O8 Zr3 -,- Ge2 O16 Zr6 -,2,0.125
1001370,5.172,0.002,5.172,0.002,13.847,0.006,90,,90,,120,,320.8,4,R 3 :H,R 3,146,,Dilithium zirconium tellurium oxide,,- Li2 O6 Te Zr -,- Li2 O6 Te Zr -,- Li6 O18 Te3 Zr3 -,3,0.333333
1001502,5.172,0.002,5.172,0.002,13.847,0.006,90,,90,,120,,320.8,4,R 3 :H,R 3,146,,Dilithium zirconium tellurate,,- Li2 O6 Te Zr -,- Li2 O6 Te Zr -,- Li6 O18 Te3 Zr3 -,3,0.333333
1001503,5.1732,0.0025,5.1732,0.0005,13.8508,0.0007,90,,90,,120,,321,4,R 3 :H,R 3,146,,Dilithium zirconium tellurate,,- Li2 O6 Te Zr -,- Li2 O6 Te Zr -,- Li6 O18 Te3 Zr3 -,3,0.333333
1001504,5.167,0.002,5.167,0.002,13.795,0.006,90,,90,,120,,319,5,R 3 :H,R 3,146,,Lithium zirconium niobium tellurium(VI) oxide (1.75/.75/.25/1/6),,- Li1.75 Nb0.25 O6 Te Zr0.75 -,- Li1.75 Nb0.25 O6 Te Zr0.75 -,- Li5.25 Nb0.75 O18 Te3 Zr2.25 -,3,0.333333
1004026,6.64025,0.00003,6.64025,0.00003,5.92625,0.00006,90,,90,,90,,261.3,5,I 41/a m d :2,-I 4bd 2,141,,Zirconium silicate hydroxide fluoride (1/0.31/0.98/1.8),,- F1.8 H0.98 O2.2 Si0.305 Zr -,- F1.8 H0.245 O2.2 Si0.305 Zr -,- F7.2 H0.98 O8.8 Si1.22 Zr4 -,4,0.125
1004027,6.64821,0.00002,6.64821,0.00002,5.90758,0.00004,90,,90,,90,,261.1,5,I 41/a m d :2,-I 4bd 2,141,,Zirconium silicate hydroxide fluoride (1/0.21/1.38/1.8),,- F1.8 H1.376 O2.2 Si0.206 Zr -,- F1.8 H0.344 O2.2 Si0.206 Zr -,- F7.2 H1.376 O8.8 Si0.824 Zr4 -,4,0.125
1008081,13.807,,13.807,,9.429,,90,,90,,120,,1556.7,3,R -3 :H,-R 3,148,,Heptasodium hexazirconium fluoride,,- F31 Na7 Zr6 -,- F31 Na7 Zr6 -,- F93 Na21 Zr18 -,3,0.166667
1008118,5.64,0.01,13.37,0.02,3.78,0.01,90,,90,,90,,285,3,I m m m,-I 2 2,71,,Zirconium arsenide telluride (3.9/2.8/5.1),,- As2.79 Te5.1 Zr3.88 -,- As2.8 Te5.12 Zr3.88 -,- As2.8 Te5.12 Zr3.88 -,1,0.0625
1008200,5.4218,0.0002,9.0216,0.0004,5.4187,0.0002,90,,112.709,0.002,90,,244.5,3,C 1 2/c 1,-C 2yc,15,,Lithium zirconate,,- Li2 O3 Zr -,- Li1.82 O3 Zr -,- Li7.28 O12 Zr4 -,4,0.5
1008358,9.151,0.008,9.151,0.008,9.151,0.008,90,,90,,90,,766.3,3,F d -3 m :2,-F 4vw 2vw 3,227,,Thorium zirconium deuteride (1/2/6),,- D6 Th Zr2 -,- D6.004 Th Zr2 -,- D48.032 Th8 Zr16 -,8,0.0416667
1008445,6.6573,0.0002,6.6573,0.0002,5.3862,,90,,90,,90,,238.7,3,I 4/m c m,-I 4 2c,140,,Zirconium nickel deuteride (2/1/2.23),,- D2.23 Ni Zr2 -,- D2.228 Ni Zr2 -,- D8.912 Ni4 Zr8 -,4,0.125
1008446,6.7357,0.0002,6.7357,0.0002,5.4752,0.0002,90,,90,,90,,248.4,3,I 4/m c m,-I 4 2c,140,,Zirconium nickel deuteride (2/1/3.78),,- D3.78 Ni Zr2 -,- D3.776 Ni Zr2 -,- D15.104 Ni4 Zr8 -,4,0.125
1008447,6.828,0.0003,6.828,0.0003,5.6862,0.0002,90,,90,,90,,265.1,3,I 4/m c m,-I 4 2c,140,,Zirconium nickel deuteride (2/1/7.16),,- D7.16 Ni Zr2 -,- D7.162 Ni Zr2 -,- D28.648 Ni4 Zr8 -,4,0.125
1008534,7.6827,0.0004,7.6827,0.0004,7.6827,0.0004,90,,90,,90,,453.5,3,F m -3 m,-F 4 2 3,225,,Iron zirconium fluoride (0.8/0.2/3.2),,- F3.2 Fe0.8 Zr0.2 -,- F3.2004 Fe0.8 Zr0.2 -,- F76.8096 Fe19.2 Zr4.8 -,24,0.125
1008543,8.7449,0.0003,8.7449,0.0013,21.819,0.001,90,,90,,120,,1445,5,R -3 c :H,"-R 3 2""c",167,,Dicopper(I) chromium zirconium tris(phosphate),,- Cr Cu2 O12 P3 Zr -,- Cr Cu1.9998 O12 P3 Zr -,- Cr6 Cu11.9988 O72 P18 Zr6 -,6,0.166667
